strain	date	country	HA_clade	NA_clade	genotype	county
A/swine/France/22-200232/2020	2020-06-15	France	1C.2.1	N2.Scot	H1avN2#A	COTES-D'ARMOR (22)
A/swine/France/22-200235/2020	2020-07-18	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200236/2020	2020-07-18	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200237/2020	2020-07-20	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200239/2020	2020-07-19	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200241/2020	2020-07-19	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200242/2020	2020-07-24	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200249/2020	2020-07-28	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200255/2020	2020-07-29	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200258/2020	2020-08-02	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200260/2020	2020-08-01	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200269/2020	2020-07-25	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200278/2020	2020-06-04	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200281/2020	2020-06-14	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200283/2020	2020-06-16	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200286/2020	2020-05-31	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200290/2020	2020-07-25	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-200322/2020	2020-05-24	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200325/2020	2020-06-16	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200382-2/2020	2020-10-15	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200413/2020	2020-06-22	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200435-1/2020	2020-11-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200436-2/2020	2020-11-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200439-3/2020	2020-11-10	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-200454-1/2020	2020-07-18	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200456-2/2020	2020-07-07	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200486-1/2020	2020-07-19	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-200505-2/2020	2020-12-10	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210030-2/2020	2020-12-29	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210039-1/2020	2020-12-02	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210042-1/2020	2020-12-09	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210061-2/2021	2021-01-06	France	1C.2.1	N1.EA	H1avN1#B	COTES-D'ARMOR (22)
A/swine/France/22-210061-5/2021	2021-01-06	France	1C.2.1	N1.EA	?	COTES-D'ARMOR (22)
A/swine/France/22-210119-1/2020	2020-12-14	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210139-3/2021	2021-02-10	France	1C.2.1	N1.EA	?	COTES-D'ARMOR (22)
A/swine/France/22-210232-2/2021	2021-01-18	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210234-2/2021	2021-01-20	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210252-1/2021	2021-01-27	France	1C.2.4	N2.Gent	?	COTES-D'ARMOR (22)
A/swine/France/22-210267-4/2021	2021-04-10	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210295-4/2021	2021-04-28	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210301-6/2021	2021-02-17	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210305-1/2021	2021-03-17	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210309-2/2021	2021-02-25	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-210311-1/2021	2021-03-20	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210317-2/2021	2021-03-21	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210323-1/2021	2021-05-07	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-210348-2/2021	2021-05-11	France	1C.2.4	N2.Gent	?	COTES-D'ARMOR (22)
A/swine/France/22-210399-2/2021	2021-04-08	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210404-4/2021	2021-04-16	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-210427-3/2021	2021-08-10	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210427-4/2021	2021-08-10	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-210437-1/2021	2021-08-24	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210446-1/2021	2021-05-29	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210477-2/2021	2021-07-23	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210481-2/2021	2021-08-27	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-210505-3/2021	2021-10-11	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210512-5/2021	2021-10-22	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-210541-19/2021	2021-11-30	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-220035-1/2021	2021-11-24	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-220119-1/2022	2022-01-17	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-220174-1/2022	2022-01-31	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-220332-1/2022	2022-04-27	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-220451-1/2022	2022-06-01	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-220524-1/2022	2022-08-10	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-220525-2/2022	2022-08-10	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/22-220545-2/2022	2022-09-13	France	1C.2.1	N1.EA	H1avN1#A	COTES-D'ARMOR (22)
A/swine/France/22-220664-1/2022	2022-09-21	France	1C.2.1	N1.EA	?	COTES-D'ARMOR (22)
A/swine/France/22-220666-1/2022	2022-10-03	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/Sw/France/22-230181-1/2022	2023-01-26	France	1C.2.4	N2.Gent	H1avN2#E	COTES-D'ARMOR (22)
A/swine/France/24-170162/2017	2017-06-01	France	1C.2.1	N1.EA	H1avN1#A	out
A/swine/France/24-200063/2020	2020-01-14	France	1C.2.1	N1.EA	H1avN1#A	DORDOGNE (24)
A/swine/France/24-200492/2020	2020-11-30	France	1C.2	N2.Gent	H1avN2#H	DORDOGNE (24)
A/Sw/France/24-230094-2/2022	2022-11-09	France	1C.2	N2.Gent	H1avN2#I	DORDOGNE (24)
A/swine/France/27-220375-5/2022	2022-03-12	France	1C.2.4	N2.Gent	H1avN2#E	EURE (27)
A/swine/France/28-200135/2020	2020-05-20	France	1C.2.4	N2.Gent	H1avN2#E	EURE-ET-LOIR (28)
A/swine/France/28-200396/2020	2020-05-27	France	1C.2.1	N1.EA	H1avN1#A	EURE-ET-LOIR (28)
A/swine/France/28-210405-2/2021	2021-04-21	France	1C.2.4	N2.Gent	?	EURE-ET-LOIR (28)
